track_id,song_id,artist_name,song_title
TRAAABD128F429CF47,SOCIWDW12A8C13D406,The Box Tops,Soul Deep
TRAAAFD128F92F423A,SOFSOCN12A8C143F5D,Gob,Face the Ashes
TRAAAPK128E0786D96,SOHKNRJ12A6701D1F8,Tweeterfriendly Music,Drop of Rain
TRAABLR128F423B7E3,SOHUOAP12A8AE488E9,Blue Rodeo,Floating
TRAABVM128F92CA9DC,SOXLBJT12A8C140925,Tesla,Caught In A Dream
TRAACCG128F92E8A55,SOZCTXZ12AB0182364,Elena,Setanta matins
TRAACER128F4290F96,SOBBUGU12A8C13E95D,The Dillinger Escape Plan,Setting Fire to Sleeping Giants
TRAACLV128F427E123,SONYPOM12A8C13B2D7,Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell)
TRAACQT128F9331780,SOLLHMX12AB01846DC,John Wesley,The Emperor Falls
TRAACSL128F93462F4,SOYTPEP12AB0180E7B,The Shangri-Las,Twist and Shout
TRAADDS128F425C68B,SOJXVAH12A8C139700,Butthole Surfers,"Barking Dogs (From ""Piouhgd"")"
TRAADLH12903CA70EE,SONYRZV12AB018AF70,The Suicide Machines,Burning In The Aftermath
TRAADLN128F14832E9,SONQBUB12A6D4F8ED0,The Rolling Stones,Angie (1993 Digital Remaster)
TRAADMH128F9343E59,SOTWVQT12A58A79650,R.L. Burnside,Glory Be
TRAADQX128F422B4CF,SOTUNMH12A6D4FA3E6,Casiotone For The Painfully Alone,Nashville Parthenon
TRAADVH128EF34DE7A,SOGKIWV12A6D4F86C4,The New York Dolls,Human Being
TRAADYB128F92D7E73,SOPHYIS12AAF3B35A3,Eliane Elias,The More I See You
TRAADYI128E078FB38,SOFHBAR12A6701D0FE,Lost Boyz,Certain Things We Do
TRAAEDJ12903CCE390,SOFGHAM12AB0186412,Yamandu Costa,Mafuá
TRAAEEH128E0795DFE,SODHVES12A6701CE6B,Chris Rea,Driving Home For Christmas
TRAAENC128F1451DE9,SOYQOFI12A6D4F76E1,Francis Dunnery,Too Much Saturn
TRAAFJW128F428A424,SOPIKEG12A58291636,NOFX,Stickin In My Eye
TRAAFON128F42926FB,SOIJXXM12A8C1416D6,Bruce Rowland,Rosemary Recalls
TRAAFRU128F9339158,SOHMMMC12AB0181C42,Xcultures,Sudanese Dance
TRAAFYL128E07856A7,SOLRYQR12A670215BF,Van Halen,Panama (Remastered Album Version)
TRAAGCZ128F93210FD,SOCHRXB12A8AE48069,Black Eyed Peas,Let's Get It Started
TRAAGKF128F932D5A2,SONSPZE12AB01819CE,Smartbomb,Complicate It
TRAAGPJ128F428CD1B,SOKLLOH12A67020F2C,Queens Of The Stone Age,I Never Came
TRAAGVF128E0789785,SODDZAD12A6701DC4C,Inspiral Carpets,Commercial Reign
TRAAHEG128E07861C3,SORWHWY12A6702038E,Redman,WKYA (drop)
TRAAHMO128F92DE7C9,SOUQVUD12A8C142DCE,Mira,Openbare Weg
TRAAHRF128F92FE234,SOXVBVL12AF72A600C,The Brooklyn Tabernacle Choir,Lead Me Lord
TRAAHZP12903CA25F4,SOFXNQP12AB0184F1A,Organized Konfusion,Hate
